outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_106_25866_20120304_181012_outLine.sph	25866	20120304	181012	25866	outLine	Central	F	HOME_OFFICE_MOBILE	55	GLOBE	Nokia
BABEL_BP_106_25866_20120304_181012_inLine.sph	25866	20120304	181012	25866	inLine	Central	F	HOME_OFFICE_LANDLINE	16	PLDT	PLDT
BABEL_BP_106_68276_20120308_201728_inLine.sph	68276	20120308	201728	68276	inLine	Southern	F	HOME_OFFICE_MOBILE	22	GLOBE	Nokia
BABEL_BP_106_68276_20120308_203526_inLine.sph	68276	20120308	203526	68276	inLine	Southern	F	HOME_OFFICE_MOBILE	22	GLOBE	Nokia
BABEL_BP_106_90742_20120501_022837_inLine.sph	90742	20120501	022837	90742	inLine	Northern	M	CAR_KIT	31	GLOBE	Nokia
BABEL_BP_106_90742_20120501_022105_inLine.sph	90742	20120501	022105	90742	inLine	Northern	M	CAR_KIT	31	GLOBE	Nokia
BABEL_BP_106_96630_20120204_003252_outLine.sph	96630	20120204	003252	96630	outLine	Central	M	PUBLIC_PLACE	19	GLOBE	Myphone
BABEL_BP_106_96630_20120204_003252_inLine.sph	96630	20120204	003252	96630	inLine	Central	F	PUBLIC_PLACE	17	GLOBE	Samsung
BABEL_BP_106_52366_20120124_164406_outLine.sph	52366	20120124	164406	52366	outLine	Northern	F	HOME_OFFICE_MOBILE	25	SUN	Nokia
BABEL_BP_106_52366_20120124_164406_inLine.sph	52366	20120124	164406	52366	inLine	Central	M	STREET	31	SUN	Nokia
BABEL_BP_106_96302_20120317_193605_inLine.sph	96302	20120317	193605	96302	inLine	Northern	F	PUBLIC_PLACE	28	GLOBE	Samsung
BABEL_BP_106_96302_20120317_195426_outLine.sph	96302	20120317	195426	96302	outLine	Northern	F	HOME_OFFICE_MOBILE	35	TALK_N_TEXT	Nokia
BABEL_BP_106_96302_20120317_195426_inLine.sph	96302	20120317	195426	96302	inLine	Northern	F	PUBLIC_PLACE	28	GLOBE	Samsung
BABEL_BP_106_96302_20120317_192957_inLine.sph	96302	20120317	192957	96302	inLine	Northern	F	PUBLIC_PLACE	28	GLOBE	Samsung
BABEL_BP_106_26901_20120212_193813_inLine.sph	26901	20120212	193813	26901	inLine	Central	M	HOME_OFFICE_MOBILE	21	GLOBE	Myphone
BABEL_BP_106_26901_20120212_193813_outLine.sph	26901	20120212	193813	26901	outLine	Southern	F	HOME_OFFICE_MOBILE	20	GLOBE	Nokia
BABEL_BP_106_26901_20120212_192301_inLine.sph	26901	20120212	192301	26901	inLine	Central	M	HOME_OFFICE_MOBILE	21	GLOBE	Myphone
BABEL_BP_106_26901_20120212_192301_outLine.sph	26901	20120212	192301	26901	outLine	Southern	F	HOME_OFFICE_MOBILE	20	GLOBE	Nokia
BABEL_BP_106_74214_20120503_012037_inLine.sph	74214	20120503	012037	74214	inLine	Northern	M	CAR_KIT	49	GLOBE	Nokia
BABEL_BP_106_64889_20120307_175001_outLine.sph	64889	20120307	175001	64889	outLine	Central	F	STREET	34	GLOBE	Nokia
BABEL_BP_106_64889_20120307_175001_inLine.sph	64889	20120307	175001	64889	inLine	Northern	F	STREET	59	GLOBE	Myphone
BABEL_BP_106_14059_20120323_040739_inLine.sph	14059	20120323	040739	14059	inLine	Southern	M	STREET	33	GLOBE	Nokia
BABEL_BP_106_14059_20120323_040739_outLine.sph	14059	20120323	040739	14059	outLine	Southern	F	STREET	31	GLOBE	Nokia
BABEL_BP_106_96717_20120331_232633_outLine.sph	96717	20120331	232633	96717	outLine	Northern	F	PUBLIC_PLACE	62	SMART	Cherry
BABEL_BP_106_20985_20120314_184025_inLine.sph	20985	20120314	184025	20985	inLine	Southern	F	HOME_OFFICE_MOBILE	49	GLOBE	Nokia
BABEL_BP_106_20985_20120314_184025_outLine.sph	20985	20120314	184025	20985	outLine	Northern	F	HOME_OFFICE_MOBILE	30	SMART	Nokia
BABEL_BP_106_40211_20120329_005439_outLine.sph	40211	20120329	005439	40211	outLine	Southern	M	STREET	38	GLOBE	Cherry
BABEL_BP_106_40211_20120329_005438_inLine.sph	40211	20120329	005438	40211	inLine	Southern	F	STREET	42	GLOBE	Nokia
BABEL_BP_106_94814_20120211_015600_inLine.sph	94814	20120211	015600	94814	inLine	Central	F	PUBLIC_PLACE	49	SMART	Nokia
BABEL_BP_106_40510_20120221_155613_inLine.sph	40510	20120221	155613	40510	inLine	Central	M	HOME_OFFICE_MOBILE	22	GLOBE	Nokia
BABEL_BP_106_40510_20120221_155613_outLine.sph	40510	20120221	155613	40510	outLine	Central	M	STREET	36	SMART	Nokia
BABEL_BP_106_00315_20120419_231124_inLine.sph	00315	20120419	231124	00315	inLine	Northern	M	VEHICLE	39	GLOBE	Cherry
BABEL_BP_106_98476_20120301_235152_outLine.sph	98476	20120301	235152	98476	outLine	Northern	F	HOME_OFFICE_MOBILE	27	SMART	Nokia
BABEL_BP_106_98476_20120301_235152_inLine.sph	98476	20120301	235152	98476	inLine	Central	M	PUBLIC_PLACE	30	SMART	Nokia
BABEL_BP_106_25751_20120227_221828_outLine.sph	25751	20120227	221828	25751	outLine	Southern	M	PUBLIC_PLACE	25	SMART	Nokia
BABEL_BP_106_25751_20120227_221828_inLine.sph	25751	20120227	221828	25751	inLine	Central	F	PUBLIC_PLACE	38	SMART	Nokia
BABEL_BP_106_25479_20120315_160418_outLine.sph	25479	20120315	160418	25479	outLine	Southern	F	PUBLIC_PLACE	27	SMART	Blackberry
BABEL_BP_106_25479_20120315_154117_outLine.sph	25479	20120315	154117	25479	outLine	Southern	F	PUBLIC_PLACE	27	SMART	Blackberry
BABEL_BP_106_25479_20120315_160418_inLine.sph	25479	20120315	160418	25479	inLine	Central	F	PUBLIC_PLACE	22	SMART	Nokia
BABEL_BP_106_25479_20120315_154117_inLine.sph	25479	20120315	154117	25479	inLine	Central	F	PUBLIC_PLACE	22	SMART	Nokia
BABEL_BP_106_95572_20120501_120940_outLine.sph	95572	20120501	120940	95572	outLine	Southern	F	HOME_OFFICE_LANDLINE	56	PLDT	PLDT
BABEL_BP_106_32400_20120307_235432_outLine.sph	32400	20120307	235432	32400	outLine	Central	F	HOME_OFFICE_MOBILE	19	TALK_N_TEXT	Nokia
BABEL_BP_106_32400_20120307_235432_inLine.sph	32400	20120307	235432	32400	inLine	Central	F	HOME_OFFICE_LANDLINE	21	PLDT	PLDT
BABEL_BP_106_10985_20120313_013835_outLine.sph	10985	20120313	013835	10985	outLine	Central	M	HOME_OFFICE_MOBILE	31	SMART	Nokia
BABEL_BP_106_10985_20120313_013835_inLine.sph	10985	20120313	013835	10985	inLine	Central	M	HOME_OFFICE_MOBILE	45	GLOBE	Ericsson
BABEL_BP_106_77104_20120320_000526_inLine.sph	77104	20120320	000526	77104	inLine	Central	M	PUBLIC_PLACE	45	GLOBE	LG
BABEL_BP_106_23571_20120229_180344_outLine.sph	23571	20120229	180344	23571	outLine	Southern	F	PUBLIC_PLACE	17	SMART	Nokia
BABEL_BP_106_23571_20120229_180344_inLine.sph	23571	20120229	180344	23571	inLine	Central	F	HOME_OFFICE_MOBILE	16	TALK_N_TEXT	Nokia
BABEL_BP_106_55288_20120503_010325_inLine.sph	55288	20120503	010325	55288	inLine	Northern	M	CAR_KIT	33	GLOBE	Nokia
BABEL_BP_106_77487_20120310_023017_outLine.sph	77487	20120310	023017	77487	outLine	Central	M	PUBLIC_PLACE	27	SMART	Nokia
BABEL_BP_106_75243_20120314_193719_inLine.sph	75243	20120314	193719	75243	inLine	Southern	M	STREET	31	GLOBE	Myphone
BABEL_BP_106_75243_20120314_181814_inLine.sph	75243	20120314	181814	75243	inLine	Southern	M	STREET	31	GLOBE	Myphone
BABEL_BP_106_75243_20120314_194814_inLine.sph	75243	20120314	194814	75243	inLine	Southern	M	STREET	31	GLOBE	Myphone
BABEL_BP_106_31265_20120311_235253_outLine.sph	31265	20120311	235253	31265	outLine	Northern	F	HOME_OFFICE_MOBILE	49	GLOBE	Nokia
BABEL_BP_106_31265_20120311_235253_inLine.sph	31265	20120311	235253	31265	inLine	Central	F	HOME_OFFICE_LANDLINE	31	PLDT	PLDT
BABEL_BP_106_62610_20120511_024325_inLine.sph	62610	20120511	024325	62610	inLine	Northern	M	CAR_KIT	30	GLOBE	Nokia
BABEL_BP_106_62610_20120511_023409_inLine.sph	62610	20120511	023409	62610	inLine	Northern	M	CAR_KIT	30	GLOBE	Nokia
BABEL_BP_106_39756_20120312_165815_inLine.sph	39756	20120312	165815	39756	inLine	Central	F	HOME_OFFICE_LANDLINE	35	PLDT	PLDT
BABEL_BP_106_31606_20120403_225528_inLine.sph	31606	20120403	225528	31606	inLine	Northern	F	VEHICLE	35	GLOBE	Nokia
BABEL_BP_106_97699_20120317_154627_outLine.sph	97699	20120317	154627	97699	outLine	Northern	M	HOME_OFFICE_MOBILE	38	SMART	Nokia
BABEL_BP_106_63392_20120405_141717_inLine.sph	63392	20120405	141717	63392	inLine	Northern	M	VEHICLE	34	GLOBE	Nokia
BABEL_BP_106_21367_20120317_185340_outLine.sph	21367	20120317	185340	21367	outLine	Northern	M	PUBLIC_PLACE	37	SMART	Samsung
BABEL_BP_106_21367_20120317_185340_inLine.sph	21367	20120317	185340	21367	inLine	Northern	F	HOME_OFFICE_MOBILE	30	GLOBE	Nokia
BABEL_BP_106_35305_20120308_195828_inLine.sph	35305	20120308	195828	35305	inLine	Southern	F	HOME_OFFICE_MOBILE	20	GLOBE	Nokia
BABEL_BP_106_35305_20120308_195828_outLine.sph	35305	20120308	195828	35305	outLine	Southern	F	HOME_OFFICE_MOBILE	20	SMART	Nokia
BABEL_BP_106_79970_20120420_164617_inLine.sph	79970	20120420	164617	79970	inLine	Northern	M	CAR_KIT	30	GLOBE	Nokia
BABEL_BP_106_50476_20120304_171701_inLine.sph	50476	20120304	171701	50476	inLine	Northern	F	PUBLIC_PLACE	19	GLOBE	Myphone
BABEL_BP_106_50476_20120304_171701_outLine.sph	50476	20120304	171701	50476	outLine	Central	F	PUBLIC_PLACE	19	SMART	Nokia
BABEL_BP_106_38640_20120130_174518_outLine.sph	38640	20120130	174518	38640	outLine	Northern	F	HOME_OFFICE_MOBILE	24	GLOBE	LG
BABEL_BP_106_38640_20120130_174518_inLine.sph	38640	20120130	174518	38640	inLine	Central	F	HOME_OFFICE_MOBILE	26	GLOBE	Nokia
BABEL_BP_106_47823_20120302_214046_outLine.sph	47823	20120302	214046	47823	outLine	Central	M	HOME_OFFICE_MOBILE	35	SMART	Nokia
BABEL_BP_106_32710_20120418_235030_inLine.sph	32710	20120418	235030	32710	inLine	Northern	M	VEHICLE	31	GLOBE	Nokia
BABEL_BP_106_29407_20120403_225249_inLine.sph	29407	20120403	225249	29407	inLine	Northern	F	VEHICLE	39	GLOBE	Nokia
BABEL_BP_106_93169_20120126_190053_inLine.sph	93169	20120126	190053	93169	inLine	Central	M	STREET	36	SUN	Nokia
BABEL_BP_106_25735_20120314_233234_inLine.sph	25735	20120314	233234	25735	inLine	Northern	M	PUBLIC_PLACE	25	TALK_N_TEXT	Nokia
BABEL_BP_106_25735_20120314_233234_outLine.sph	25735	20120314	233234	25735	outLine	Central	F	HOME_OFFICE_MOBILE	23	SMART	Samsung
BABEL_BP_106_61489_20120417_203944_inLine.sph	61489	20120417	203944	61489	inLine	Northern	M	HOME_OFFICE_LANDLINE	30	PLDT	PLDT
BABEL_BP_106_95791_20120323_213855_inLine.sph	95791	20120323	213855	95791	inLine	Northern	F	STREET	31	GLOBE	Nokia
BABEL_BP_106_80290_20120311_234143_outLine.sph	80290	20120311	234143	80290	outLine	Northern	F	PUBLIC_PLACE	20	GLOBE	Nokia
BABEL_BP_106_80290_20120311_231738_outLine.sph	80290	20120311	231738	80290	outLine	Northern	F	PUBLIC_PLACE	20	GLOBE	Nokia
BABEL_BP_106_80290_20120311_234143_inLine.sph	80290	20120311	234143	80290	inLine	Central	F	PUBLIC_PLACE	25	GLOBE	Nokia
BABEL_BP_106_80290_20120311_231738_inLine.sph	80290	20120311	231738	80290	inLine	Central	F	PUBLIC_PLACE	25	GLOBE	Nokia
BABEL_BP_106_63741_20120328_001923_inLine.sph	63741	20120328	001923	63741	inLine	Southern	F	STREET	46	GLOBE	Nokia
BABEL_BP_106_61906_20120418_175007_inLine.sph	61906	20120418	175007	61906	inLine	Northern	M	VEHICLE	30	GLOBE	Nokia
BABEL_BP_106_49624_20120224_194049_inLine.sph	49624	20120224	194049	49624	inLine	Central	M	HOME_OFFICE_LANDLINE	32	PLDT	PLDT
BABEL_BP_106_49624_20120224_194049_outLine.sph	49624	20120224	194049	49624	outLine	Northern	M	HOME_OFFICE_MOBILE	33	GLOBE	Nokia
BABEL_BP_106_78516_20120324_012547_inLine.sph	78516	20120324	012547	78516	inLine	Southern	M	STREET	46	GLOBE	Nokia
BABEL_BP_106_78516_20120324_012547_outLine.sph	78516	20120324	012547	78516	outLine	Southern	M	STREET	40	GLOBE	Nokia
BABEL_BP_106_49714_20120227_191755_inLine.sph	49714	20120227	191755	49714	inLine	Central	F	HOME_OFFICE_MOBILE	36	GLOBE	Myphone
BABEL_BP_106_49714_20120227_191755_outLine.sph	49714	20120227	191755	49714	outLine	Central	F	HOME_OFFICE_MOBILE	32	TALK_N_TEXT	Myphone
