outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_102_43587_20120607_204145_outLine.sph	43587	20120607	204145	43587	outLine	WESTERN_ASSAM	F	HOME_OFFICE_MOBILE	30	AIRCEL	NOKIA	4800160	8000
BABEL_OP1_102_43587_20120607_204145_inLine.sph	43587	20120607	204145	43587	inLine	WESTERN_ASSAM	F	STREET	26	AIRTEL	SONY_ERICSSON	4793280	8000
BABEL_OP1_102_68706_20120412_221059_inLine.sph	68706	20120412	221059	68706	inLine	CENTRAL_ASSAM	F	CAR_KIT	25	AIRCEL	NOKIA	4795200	8000
BABEL_OP1_102_68706_20120412_221100_outLine.sph	68706	20120412	221100	68706	outLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	22	VODAFONE	NOKIA	4788160	8000
BABEL_OP1_102_45106_20120318_191747_outLine.sph	45106	20120318	191747	45106	outLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	18	RELIANCE	NOKIA	4798880	8000
BABEL_OP1_102_45106_20120318_191747_inLine.sph	45106	20120318	191747	45106	inLine	CENTRAL_ASSAM	M	HOME_OFFICE_MOBILE	31	IDEA	NOKIA	4799520	8000
BABEL_OP1_102_69052_20120506_162432_outLine.sph	69052	20120506	162432	69052	outLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	36	AIRCEL	SAMSUNG	4796320	8000
BABEL_OP1_102_69052_20120506_162432_inLine.sph	69052	20120506	162432	69052	inLine	EASTERN_ASSAM	F	HOME_OFFICE_MOBILE	20	VODAFONE	NOKIA	4798240	8000
BABEL_OP1_102_84532_20121222_152400_outLine.sph	84532	20121222	152400	84532	outLine	CENTRAL_ASSAM	M	HOME_OFFICE_MOBILE	46	AIRCEL	NOKIA	4800640	8000
BABEL_OP1_102_84532_20121222_152400_inLine.sph	84532	20121222	152400	84532	inLine	WESTERN_ASSAM	M	VEHICLE	46	RELIANCE	MAXX	4796800	8000
BABEL_OP1_102_53179_20121009_225324_outLine.sph	53179	20121009	225324	53179	outLine	WESTERN_ASSAM	F	PUBLIC_PLACE	20	RELIANCE	SAMSUNG	4799520	8000
BABEL_OP1_102_53179_20121009_225324_inLine.sph	53179	20121009	225324	53179	inLine	WESTERN_ASSAM	F	HOME_OFFICE_LANDLINE	16	AIRCEL	SAMSUNG	4797600	8000
BABEL_OP1_102_20518_20120618_155945_outLine.sph	20518	20120618	155945	20518	outLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	40	IDEA	NOKIA	4801600	8000
BABEL_OP1_102_20518_20120618_155945_inLine.sph	20518	20120618	155945	20518	inLine	EASTERN_ASSAM	F	HOME_OFFICE_MOBILE	41	IDEA	NOKIA	4799680	8000
BABEL_OP1_102_27698_20120328_165641_inLine.sph	27698	20120328	165641	27698	inLine	WESTERN_ASSAM	M	HOME_OFFICE_MOBILE	35	RELIANCE	NOKIA	4795360	8000
BABEL_OP1_102_27698_20120328_165641_outLine.sph	27698	20120328	165641	27698	outLine	CENTRAL_ASSAM	M	HOME_OFFICE_MOBILE	36	AIRTEL	NOKIA	4802080	8000
BABEL_OP1_102_49351_20121214_224227_inLine.sph	49351	20121214	224227	49351	inLine	CENTRAL_ASSAM	F	STREET	48	RELIANCE	SAMSUNG	4798880	8000
BABEL_OP1_102_49351_20121214_224227_outLine.sph	49351	20121214	224227	49351	outLine	CENTRAL_ASSAM	M	STREET	49	VODAFONE	NOKIA	4803840	8000
BABEL_OP1_102_84042_20120806_194540_inLine.sph	84042	20120806	194540	84042	inLine	EASTERN_ASSAM	M	CAR_KIT	33	RELIANCE	NOKIA	4799520	8000
BABEL_OP1_102_84042_20120806_194540_outLine.sph	84042	20120806	194540	84042	outLine	CENTRAL_ASSAM	M	STREET	35	AIRCEL	SAMSUNG	4802720	8000
BABEL_OP1_102_38879_20120410_224941_outLine.sph	38879	20120410	224941	38879	outLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	35	AIRTEL	NOKIA	4796000	8000
BABEL_OP1_102_38879_20120410_224941_inLine.sph	38879	20120410	224941	38879	inLine	WESTERN_ASSAM	M	HOME_OFFICE_MOBILE	47	AIRTEL	NOKIA	4787360	8000
BABEL_OP1_102_48812_20120420_004425_inLine.sph	48812	20120420	004425	48812	inLine	CENTRAL_ASSAM	F	CAR_KIT	46	AIRTEL	NOKIA	4797760	8000
BABEL_OP1_102_48812_20120420_004425_outLine.sph	48812	20120420	004425	48812	outLine	WESTERN_ASSAM	F	PUBLIC_PLACE	32	AIRTEL	NOKIA	4797920	8000
BABEL_OP1_102_88464_20120612_191239_outLine.sph	88464	20120612	191239	88464	outLine	CENTRAL_ASSAM	M	HOME_OFFICE_MOBILE	38	AIRTEL	NOKIA	4802080	8000
BABEL_OP1_102_88464_20120612_191239_inLine.sph	88464	20120612	191239	88464	inLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	47	AIRTEL	NOKIA	4795040	8000
BABEL_OP1_102_13450_20120421_200138_outLine.sph	13450	20120421	200138	13450	outLine	CENTRAL_ASSAM	F	HOME_OFFICE_MOBILE	39	IDEA	NOKIA	4797600	8000
BABEL_OP1_102_13450_20120421_200138_inLine.sph	13450	20120421	200138	13450	inLine	EASTERN_ASSAM	F	HOME_OFFICE_LANDLINE	32	BSNL	BSNL	4800160	8000
BABEL_OP1_102_33704_20130204_172729_outLine.sph	33704	20130204	172729	33704	outLine	WESTERN_ASSAM	M	HOME_OFFICE_MOBILE	33	VODAFONE	NOKIA	4802880	8000
BABEL_OP1_102_33704_20130204_172729_inLine.sph	33704	20130204	172729	33704	inLine	WESTERN_ASSAM	M	VEHICLE	32	IDEA	NOKIA	4797920	8000
BABEL_OP1_102_13879_20121112_220931_inLine.sph	13879	20121112	220931	13879	inLine	WESTERN_ASSAM	M	VEHICLE	51	RELIANCE	NOKIA	4794240	8000
BABEL_OP1_102_13879_20121112_220931_outLine.sph	13879	20121112	220931	13879	outLine	WESTERN_ASSAM	M	STREET	31	RELIANCE	SONY	4800160	8000
BABEL_OP1_102_10408_20121105_223454_outLine.sph	10408	20121105	223454	10408	outLine	WESTERN_ASSAM	M	STREET	33	RELIANCE	NOKIA	4799520	8000
BABEL_OP1_102_10408_20121105_223454_inLine.sph	10408	20121105	223454	10408	inLine	WESTERN_ASSAM	M	STREET	29	RELIANCE	SONY_ERICSSON	4797280	8000
BABEL_OP1_102_55355_20121007_010642_outLine.sph	55355	20121007	010642	55355	outLine	CENTRAL_ASSAM	M	HOME_OFFICE_MOBILE	30	AIRCEL	NOKIA	4801920	8000
BABEL_OP1_102_55355_20121007_010642_inLine.sph	55355	20121007	010642	55355	inLine	CENTRAL_ASSAM	M	HOME_OFFICE_MOBILE	30	AIRCEL	NOKIA	4797120	8000
BABEL_OP1_102_21370_20120410_231048_outLine.sph	21370	20120410	231048	21370	outLine	EASTERN_ASSAM	M	HOME_OFFICE_MOBILE	32	AIRCEL	NOKIA	4802080	8000
BABEL_OP1_102_21370_20120410_231048_inLine.sph	21370	20120410	231048	21370	inLine	EASTERN_ASSAM	F	HOME_OFFICE_MOBILE	41	AIRCEL	NOKIA	4795360	8000
BABEL_OP1_102_31345_20121010_195905_outLine.sph	31345	20121010	195905	31345	outLine	WESTERN_ASSAM	M	HOME_OFFICE_MOBILE	21	AIRCEL	NOKIA	3873600	8000
